# Testing 7776 configurations 
# Reading [30] trace.out files from [../parrot-traces/polybench-v0.1-normal/]
# -> Parrot_l1_2mm.latency_trace.out
# -> Parrot_l1_jacobi-2d.latency_trace.out
# -> Parrot_l1_mvt.latency_trace.out
# -> Parrot_l1_floyd-warshall.latency_trace.out
# -> Parrot_l1_trisolv.latency_trace.out
# -> Parrot_l1_deriche.latency_trace.out
# -> Parrot_l1_symm.latency_trace.out
# -> Parrot_l1_syr2k.latency_trace.out
# -> Parrot_l1_nussinov.latency_trace.out
# -> Parrot_l1_heat-3d.latency_trace.out
# -> Parrot_l1_doitgen.latency_trace.out
# -> Parrot_l1_covariance.latency_trace.out
# -> Parrot_l1_trmm.latency_trace.out
# -> Parrot_l1_lu.latency_trace.out
# -> Parrot_l1_bicg.latency_trace.out
# -> Parrot_l1_3mm.latency_trace.out
# -> Parrot_l1_cholesky.latency_trace.out
# -> Parrot_l1_seidel-2d.latency_trace.out
# -> Parrot_l1_jacobi-1d.latency_trace.out
# -> Parrot_l1_gemver.latency_trace.out
# Done loading files.
pct acc threshold phase_length stable_min window_start summarize proj_dist proj_delta p_j
0.732444 5.65557 0.4 50000 3 15 1000 5 2 8
0.786916 6.44696 0.4 50000 3 10 250 5 2 4
0.620023 3.23844 0.6 10000 4 15 250 5 0.5 8
0.595185 3.03751 0.5 10000 3 20 1000 10 0.5 8
0.610265 4.31302 0.5 50000 3 20 1000 10 2 8
0.707542 6.64205 0.5 100000 5 20 250 5 2 4
0.700438 5.90225 0.5 50000 3 15 250 10 2 4
0.67498 4.87487 0.5 10000 3 15 250 10 0.5 4
0.85824 5.90428 0.4 10000 5 10 1000 5 2 4
0.649728 3.74442 0.5 10000 5 10 250 10 1 8
0.578677 3.82358 0.6 200000 4 20 500 10 2 8
0.495846 1.51212 0.4 200000 3 15 1000 10 0.5 10
0.589477 3.86188 0.6 200000 4 10 1000 10 2 6
0.658345 5.60954 0.6 10000 3 10 500 10 2 8
0.540989 3.56779 0.6 200000 5 15 250 10 2 10
0.658124 4.78271 0.6 50000 3 10 1000 5 1 8
0.608543 4.39687 0.5 100000 4 15 1000 5 1 8
0.596111 5.80774 0.5 200000 5 20 250 5 0.5 4
0.600018 3.98767 0.5 200000 3 20 1000 10 2 6
0.482937 1.95299 0.4 200000 5 20 500 10 1 10
0.841536 6.62249 0.6 50000 3 20 500 5 2 4
0.594038 4.54262 0.4 100000 3 15 1000 10 2 10
0.643615 4.77057 0.6 10000 3 20 500 5 0.5 4
0.525096 3.3638 0.5 200000 4 15 500 10 2 8
0.529634 1.76119 0.4 100000 5 20 1000 5 0.5 10
0.494573 2.06658 0.4 200000 3 10 250 10 0.5 8
0.548519 4.08213 0.5 200000 5 10 250 10 2 10
0.616927 4.58262 0.4 200000 4 10 500 10 1 4
0.532677 2.9849 0.4 100000 4 20 500 5 0.5 6
0.526781 2.82346 0.4 200000 5 10 1000 10 1 8
0.572836 3.93751 0.4 200000 4 20 250 10 1 6
0.532967 3.16907 0.6 200000 3 10 500 10 1 10
0.672429 5.86373 0.5 100000 4 10 250 5 1 6
0.601177 4.8201 0.5 100000 5 10 500 5 1 10
