# Testing 1440 configurations 
# Reading [8] trace.out files from [../experiment-results/Jul-18-10/trace]
# -> Parrot_l1_sp-07.latency_trace.out
# -> Parrot_l1_sp-08.latency_trace.out
# -> Parrot_l1_sp-06.latency_trace.out
# -> Parrot_l1_sp-03.latency_trace.out
# -> Parrot_l1_sp-04.latency_trace.out
# -> Parrot_l1_sp-05.latency_trace.out
# -> Parrot_l1_sp-01.latency_trace.out
# -> Parrot_l1_sp-02.latency_trace.out
# Done loading files.
benchmark pct err len threshold phase_length stable_min window_start summarize proj_dist proj_delta p_j
sp-08 0 0 8196209 0.65 100000 3 25 500 5 2 2
sp-06 0.703223 0.0943967 7684209 0.65 100000 3 25 500 5 2 2
sp-03 0.642145 0.177683 6916209 0.65 100000 3 25 500 5 2 2
sp-04 0.781448 1.41835 7172207 0.65 100000 3 25 500 5 2 2
sp-05 0.680071 0.0322157 7428207 0.65 100000 3 25 500 5 2 2
sp-01 0.789513 0.756902 6404209 0.65 100000 3 25 500 5 2 2
sp-02 0.660071 0.229096 6660209 0.65 100000 3 25 500 5 2 2
sp-07 0.451828 0.180057 7940207 0.5 200000 3 75 100 5 3 2
sp-08 0.609844 1.38918 8196209 0.5 200000 3 75 100 5 3 2
sp-06 0.680566 0.08895 7684209 0.5 200000 3 75 100 5 3 2
sp-03 0.69492 0.0190046 6916209 0.5 200000 3 75 100 5 3 2
sp-04 0.59983 0.944033 7172207 0.5 200000 3 75 100 5 3 2
sp-05 0.51454 0.983998 7428207 0.5 200000 3 75 100 5 3 2
sp-01 0.796181 0.0457865 6404209 0.5 200000 3 75 100 5 3 2
sp-02 0.656873 0.990206 6660209 0.5 200000 3 75 100 5 3 2
sp-07 0 0 7940207 0.65 200000 3 20 100 5 2 4
sp-08 0 0 8196209 0.65 200000 3 20 100 5 2 4
sp-06 0 0 7684209 0.65 200000 3 20 100 5 2 4
sp-03 0 0 6916209 0.65 200000 3 20 100 5 2 4
sp-04 0 0 7172207 0.65 200000 3 20 100 5 2 4
sp-05 0 0 7428207 0.65 200000 3 20 100 5 2 4
sp-01 0 0 6404209 0.65 200000 3 20 100 5 2 4
sp-02 0 0 6660209 0.65 200000 3 20 100 5 2 4
sp-07 0 0 7940207 0.65 200000 3 10 1000 5 2 6
sp-08 0 0 8196209 0.65 200000 3 10 1000 5 2 6
sp-06 0 0 7684209 0.65 200000 3 10 1000 5 2 6
sp-03 0 0 6916209 0.65 200000 3 10 1000 5 2 6
sp-04 0 0 7172207 0.65 200000 3 10 1000 5 2 6
sp-05 0 0 7428207 0.65 200000 3 10 1000 5 2 6
sp-01 0 0 6404209 0.65 200000 3 10 1000 5 2 6
sp-02 0 0 6660209 0.65 200000 3 10 1000 5 2 6
sp-07 0.666256 0.156212 7940207 0.65 200000 3 50 1000 5 2 2
sp-08 0.574681 0.0852125 8196209 0.65 200000 3 50 1000 5 2 2
sp-06 0.495589 0.0777836 7684209 0.65 200000 3 50 1000 5 2 2
sp-03 0.723114 0.12225 6916209 0.65 200000 3 50 1000 5 2 2
